n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
364,109600,200,80700,13100,17500,21200,10300,400,20300,21200,10000,12700
365,100100,200,82400,13400,16800,20800,9900,300,18600,23100,10500,18700
366,106000,100,82200,16600,17800,26600,10400,400,17500,22600,10500,21300
367,109300,200,83000,13400,17300,20300,10000,300,18000,26000,9900,15900
368,109600,200,83400,12800,18500,39000,9600,400,17800,24800,13600,16200
369,104200,200,84500,13300,17700,20700,11000,400,22800,23400,14700,15400
370,102000,200,83500,13700,18600,20900,10200,400,18000,22000,14500,13900
371,106000,200,84800,13600,17600,20500,11000,400,18300,22300,14300,13200
372,119500,300,84600,13600,20400,21800,10400,300,19000,23700,15200,14000
373,107700,200,85700,13500,18000,21400,10700,400,19100,27100,14800,13600
374,108200,200,86200,13400,17400,21000,10400,400,21100,23100,10700,13400
